,债券简称,成交净价(元),最新收益率(%),涨跌(BP),加权收益率(%),交易量(亿)
0,20国开15,101.03,3.5725,4.0,3.5504,
1,20附息国债16,100.77,3.1780,-0.26,3.1586,
2,20附息国债11,99.79,2.7700,4.75,2.7463,
3,20国开10,95.55,3.6540,3.4,3.6280,
4,20附息国债13,100.16,2.9815,4.65,2.9533,
5,20国开12,100.30,3.2650,6.5,3.2247,
6,20附息国债12,101.38,3.7325,3.27,3.7370,
7,20附息国债14,100.05,2.8600,5.75,2.8573,
8,20农业银行CD136,99.32,1.8000,-74.94,1.8138,
9,20平安银行CD333,97.09,2.9973,-0.24,2.9958,
10,19附息国债03,100.07,2.6250,-0.3,2.6207,
11,20附息国债15,100.35,2.4700,-1.0,2.4790,
12,19国开03,100.51,3.1225,3.26,3.0779,
13,20附息国债04,92.80,3.8000,2.5,3.7828,
14,20贴现国债63,99.46,2.1501,-20.51,2.2073,
15,20兴业银行CD453,99.30,2.1803,27.97,1.8903,
16,20附息国债06,95.69,3.2160,3.6,3.1877,
17,20附息国债05,95.95,3.0160,4.35,2.9878,
18,18附息国债28,101.26,2.9405,3.05,3.0458,
19,20附息国债18,100.31,2.7600,4.0,2.7424,
20,17光大银行二级01,101.07,4.3964,0.39,4.3963,
21,20附息国债01,100.00,2.2010,-0.07,2.2010,
22,20浦发银行CD531,97.16,2.9200,,2.9144,
23,20附息国债10,99.87,2.3800,1.99,2.3813,
24,20国开08,98.52,3.2500,4.98,3.2367,
25,20国开07,99.94,3.0200,7.0,2.9855,
26,20贴现国债53,99.40,1.9000,-25.04,1.9558,
27,20中国银行CD088,99.32,1.8107,-68.98,1.8000,
28,19国开05,98.91,3.6400,3.5,3.6092,
29,20附息国债17,100.41,3.2125,3.25,3.1881,
30,20国开02,97.56,2.9919,4.0,2.9626,
31,20浦发银行CD444,99.31,1.8502,-67.98,1.8502,
32,20农发02,98.24,3.0200,4.0,3.0359,
33,20附息国债09,98.75,2.8875,3.75,2.8857,
34,20浦发银行CD456,99.30,2.1807,-57.35,1.9416,
35,20浦发银行CD436,99.32,1.7992,-97.14,1.7994,
36,17四川债11,103.88,3.2039,-5.01,3.2039,
37,20国开01,100.01,1.8991,-10.22,1.9186,
38,20中国银行CD107,96.41,3.7527,86.77,3.3180,
39,20浦发银行CD452,99.32,1.8002,-73.51,1.8617,
40,20平安银行CD284,99.33,1.8496,-95.04,1.8500,
41,19国开10,99.98,3.6500,2.0,3.6301,
42,19国开08,100.94,3.1288,-1.12,3.1642,
43,16北京农商二级,99.81,3.6357,-0.63,3.6358,
44,17邮储银行二级01,101.11,4.2904,-0.96,4.3025,
45,18国开10,103.16,3.5500,2.47,3.5393,
46,20上海医药SCP005,99.97,2.8706,,2.8706,
47,20华夏银行CD398,99.32,1.8000,-89.97,1.8004,
48,20贴现国债43,98.80,2.1203,-17.97,2.1157,
49,19民生银行永续债,101.12,4.4800,1.0,4.4800,
50,20进出12,100.14,2.8500,1.0,2.8478,
51,20中铁股MTN006,100.00,6.4483,,6.4484,
52,20建设银行CD072,98.69,1.9003,-83.65,1.8284,
53,20浦发银行CD464,99.32,1.8198,-92.96,1.9207,
54,20国开11,99.61,2.3655,0.05,2.3614,
55,20国开03,99.96,3.2400,8.0,3.1877,
56,20吉林债48,99.75,3.4703,-0.2,3.4705,
57,20中信银行CD335,97.18,2.8900,-1.0,2.8973,
58,20贴现国债48,99.42,1.7973,-10.17,1.8025,
59,19进出10,100.70,3.7586,10.42,3.7189,
60,20京能洁能SCP005,99.80,2.6998,,2.7024,
61,20贴现国债61,99.41,2.2797,15.98,2.2198,
62,20贴现国债38,98.84,2.2504,-24.99,2.3144,
63,20贴现国债56,99.38,2.1201,-16.98,2.1291,
64,18附息国债23,101.23,2.8200,5.0,2.9177,
65,20中电信SCP018,100.00,2.2994,-20.04,2.2591,
66,20浦发银行CD513,96.37,3.7874,-0.23,3.5031,
67,20交通银行CD273,97.18,2.8700,-10.9,2.9450,
68,16厦门国际二级,100.11,4.1537,-8.73,4.1536,
69,19国开07,100.50,2.7922,1.22,2.7304,
70,19进出05,100.47,3.1186,-0.2,3.1692,
71,20兴业银行CD432,99.31,1.8005,-73.92,1.8357,
72,20国开19,100.00,3.8799,-0.01,3.8806,
73,19附息国债02,100.03,2.1797,-5.05,2.2045,
74,20附息国债08,97.96,3.2055,3.05,3.1841,
75,19附息国债06,100.43,3.2305,2.8,3.2366,
76,20附息国债03,98.78,2.8300,2.5,2.8195,
77,20浦发银行CD478,97.91,2.7499,-15.01,3.3750,
78,20上海医药SCP004,99.98,2.8503,1.0,2.7565,
79,20国新控股SCP003,100.00,2.2974,,2.2974,
80,20民生银行CD574,98.61,2.8188,-0.09,2.8061,
81,20兴业银行CD424,99.32,1.8488,-35.09,1.8218,
82,20农发06,99.82,2.4501,-9.99,2.4529,
83,20华能SCP008,100.00,2.0939,-53.61,2.2914,
84,19农发06,100.70,3.6400,-1.25,3.6355,
85,20建设银行CD186,97.11,2.9774,0.74,2.9621,
86,20江苏银行CD222,96.86,3.2247,19.47,3.0534,
87,20江苏银行CD221,96.76,3.3395,-0.24,3.1788,
88,20中电投SCP019,99.98,2.3985,,2.3613,
89,20附息国债02,99.51,2.6500,0.5,2.8599,
90,20国开05,96.18,3.5650,-6.5,3.6292,
91,19国开15,98.45,3.6600,3.0,3.6290,
92,18国开05,108.93,3.4400,4.0,3.4307,
93,20民生银行CD577,97.16,2.9191,,2.9196,
94,20华能SCP009,99.96,2.2994,-70.03,2.2994,
95,19附息国债09,100.11,2.4901,-9.0,2.4995,
96,20贴现国债52,98.76,2.3934,-8.65,2.4741,
97,19国开02,100.44,2.5900,0.7,2.5883,
98,15国开18,101.91,3.2900,3.48,3.2422,
99,18国开11,101.92,2.9784,0.34,3.0025,
100,20中国银行CD086,99.33,1.7995,-79.08,1.8247,
101,20浦发银行CD440,99.31,1.8005,-89.95,1.8106,
102,20中国银行CD083,99.32,1.8506,-67.93,1.8252,
103,18沪地产PPN001,100.41,4.5326,-15.6,4.5837,
104,20华夏银行CD391,99.32,1.8498,-74.97,1.8498,
105,20建设银行CD080,98.71,1.8796,-32.06,1.8796,
106,20贴现国债59,99.42,2.1002,-18.97,2.1257,
107,16国开06,100.08,2.2499,-15.03,2.1858,
108,18附息国债21,100.51,2.4700,-7.01,2.4957,
109,20农业银行CD174,97.19,2.8800,-7.0,2.8733,
110,20平安银行CD322,97.18,2.8800,-8.0,2.8844,
111,20交通银行CD009,97.20,1.7500,-25.01,1.7696,
112,20江苏银行CD224,97.00,3.0629,2.28,3.0130,
113,20成都银行CD354,99.35,2.6642,,2.6215,
114,20浦发银行CD040,97.31,2.1097,-49.03,2.1097,
115,18农发09,100.70,2.4451,0.51,2.4004,
116,20贴现国债47,98.80,2.2699,-10.02,2.2555,
117,20农发04,94.71,3.6400,-0.98,3.6472,
118,20进出10,96.94,3.6250,-0.5,3.6764,
119,20平安银行CD255,99.30,1.7687,-98.21,1.9198,
120,20光大银行CD328,99.43,2.3002,,2.4034,
121,20浦发银行CD432,99.32,1.8488,-87.09,1.8237,
122,20建设银行CD185,97.09,2.9970,1.7,2.9084,
123,20交通银行CD051,98.13,2.4899,-31.01,2.4923,
124,20贴现国债64,98.81,2.4151,-10.48,2.5337,
125,20农业银行CD083,98.68,1.9498,-74.99,1.9304,
126,20农业银行二级01,95.52,3.6741,1.0,3.6539,
127,20兰州银行永续债,100.00,4.7993,-112.81,4.8241,
128,20民生银行CD568,97.17,2.9000,0.33,2.8850,
129,20广州农村商业银行CD145,96.24,3.9375,-0.24,3.6856,
130,18云南20,102.09,3.0800,,3.0900,
131,20浦发银行CD160,98.06,2.6000,-18.01,2.6000,
132,20汇丰银行CD010,97.26,2.4986,,2.4993,
133,20进出06,99.84,2.2801,-11.16,2.2687,
134,20光大银行永续债,99.90,4.6188,-1.22,4.6923,
135,20进出03,98.14,3.0319,4.19,3.0010,
136,18附息国债07,100.28,2.3000,0.33,2.2887,
137,20交通银行02,100.26,3.4000,-2.18,3.4058,
138,14附息国债24,100.71,2.7753,28.16,2.7639,
139,20国开16,100.16,2.4501,0.01,2.4527,
140,20农发清发01,99.37,2.8000,-3.0,2.8113,
141,20建设银行CD138,98.67,2.4499,-30.0,2.7317,
142,16国开13,98.22,3.4000,1.5,3.3910,
143,20中信银行CD318,97.17,2.8800,-24.65,2.9527,
144,20交通银行CD214,99.32,1.8301,-86.99,1.8144,
145,20平安银行CD266,99.31,1.8005,-99.98,1.8429,
146,16附息国债15,100.08,2.4600,-12.9,2.5113,
147,20汇丰银行CD031,97.02,3.0490,,3.0496,
148,20贴现国债57,98.76,2.3500,-1.99,2.3670,
149,20贴现国债58,99.40,2.1002,-18.99,2.1001,
150,20农发08,100.60,3.3075,3.75,3.3020,
151,20农发10,101.15,3.6475,0.75,3.6504,
152,20平安银行CD163,98.74,1.7807,-75.95,1.7807,
153,18中南建设MTN001,99.41,12.6297,2.2,12.6291,
154,20兴业银行CD448,99.32,1.8098,-98.97,1.8099,
155,20浦发银行CD515,97.16,2.8900,-1.0,2.9167,
156,20山西债38,100.10,3.1800,8.0,3.1800,
157,20北京银行CD032,98.15,2.5199,-25.0,2.5224,
158,20浙商银行CD128,99.33,2.7328,-26.71,2.6441,
159,20华夏银行CD324,98.65,2.3500,-32.02,2.3500,
160,20伟驰PPN002,97.76,6.0549,10.98,6.0545,
161,20抗疫国债04,96.91,3.2395,1.9,3.2414,
162,19河南债01,100.51,2.6300,-31.0,2.6319,
163,15国开10,103.60,3.2900,7.0,3.2847,
164,18国开04,103.51,3.0200,5.82,2.9752,
165,18国开14,103.90,3.2591,-15.23,3.2726,
166,19福建04,100.31,3.1850,-5.5,3.1823,
167,18中国银行二级01,102.38,4.4832,-0.13,4.5022,
168,18苏沙钢MTN001,100.36,3.7303,,3.7303,
169,20抗疫国债03,96.11,3.2500,3.0,3.2517,
170,18附息国债02,100.10,1.8003,-27.04,1.8228,
171,15进出14,102.88,3.1964,-15.36,3.1964,
172,20华夏银行,100.36,3.4082,-2.4,3.4147,
173,18国开08,100.50,2.3500,-10.0,2.4135,
174,19附息国债15,99.46,3.1995,-0.05,3.2146,
175,19西藏债06,99.89,3.2400,,3.2425,
176,20华夏银行CD258,97.22,2.8000,-10.0,2.8000,
177,20浦发银行CD221,97.87,4.3061,160.59,3.0424,
178,20兴业银行CD451,99.32,1.8498,-95.02,1.8498,
179,20南京银行CD082,96.83,3.5400,59.99,3.5400,
180,20中国航油SCP002,99.84,2.6199,,2.6155,
181,18国网新源MTN001,100.68,2.8922,,2.9000,
182,19农业银行二级04,100.73,4.1906,1.0,4.1906,
183,20民生银行CD030,97.28,2.0498,-70.01,2.0498,
184,20民生银行CD570,97.07,3.0170,2.7,3.0170,
185,20农业银行CD059,98.70,1.8998,-9.98,1.8798,
186,20兴业银行CD472,99.34,1.9497,-74.0,1.9398,
187,20招商银行CD145,98.68,2.1699,,2.2661,
188,20兴业银行CD463,99.33,1.8995,-10.07,1.8995,
189,20上海银行CD254,98.64,2.5065,-42.12,2.5065,
190,20沪电力SCP022,99.99,2.4731,-13.64,2.4731,
191,20国家能源SCP002,99.90,2.4803,-21.98,2.4777,
192,20贴现国债60,98.80,2.3400,-16.0,2.3794,
193,19民生银行二级01,101.12,4.3123,-2.95,4.3339,
194,17农发04,102.10,3.0861,0.44,3.0418,
195,20闽冶金SCP008,100.03,2.6701,-42.96,2.6701,
196,19农发清发01,100.17,2.6700,-0.99,3.2825,
197,16附息国债21,99.91,2.5000,-10.95,2.4989,
198,20中信银行CD018,97.42,2.1002,-49.97,2.2002,
199,20农业银行CD126,97.66,3.1999,44.99,3.2766,
200,19农发08,101.18,3.3900,4.0,3.3900,
201,15农发12,101.69,2.8523,-6.77,2.8510,
202,20浙商银行CD129,97.04,3.0469,-0.21,3.0469,
203,18农发08,103.08,3.0083,-8.34,3.0103,
204,20农发05,96.01,3.2600,1.0,3.2613,
205,20光大银行CD111,98.13,2.5000,-28.0,2.5000,
206,16农发11,100.14,2.2499,-3.5,2.3019,
207,20电网CP002,99.99,2.5601,-13.99,2.5107,
208,20民生银行CD573,97.07,3.0173,2.73,2.9519,
209,20河北债46,99.90,3.2919,,3.2887,
210,20中石油MTN003,97.57,3.6200,-1.87,3.6286,
211,20川投能源SCP003,99.97,2.7000,,2.7000,
212,20中信银行CD232,97.17,2.8499,,2.8499,
213,20华夏银行CD484,97.50,2.5300,-57.0,2.6200,
214,20吉利MTN002,98.83,4.2900,-6.0,4.2900,
215,20中粮SCP006,99.08,4.2535,-0.32,4.2535,
216,20南浔银行CD028,99.27,2.9646,,2.9646,
217,20杭州银行CD235,97.14,2.9000,-10.0,2.9000,
218,20光大银行CD322,97.19,2.8900,-8.0,2.8900,
219,07特别国债04,103.76,2.3200,,2.3200,
220,20浦发银行CD020,97.19,1.7690,-98.03,1.7690,
221,20中国银行CD057,98.71,1.8998,-20.01,1.9501,
222,20农业银行CD068,98.69,1.8507,-37.4,1.8507,
223,20兴业银行CD521,97.16,2.8900,-9.0,2.8900,
224,20兴业银行CD533,97.19,2.8800,-35.0,2.9050,
225,20光大银行CD285,99.35,1.9100,-87.97,1.9338,
226,20华夏银行CD388,99.30,2.1808,-56.89,2.1808,
227,20安吉农商银行CD028,99.25,3.0667,,3.0667,
228,20农业银行CD139,98.67,2.4201,,2.5101,
229,20中国银行CD055,98.71,1.8797,-77.02,1.8797,
230,17国开10,103.26,3.4500,-7.05,3.5141,
231,15农发05,102.72,3.2551,-0.49,3.2551,
232,19附息国债13,100.13,2.9000,-1.0,2.8983,
233,19农发09,100.26,3.1588,-4.5,3.1678,
234,20厦翔业SCP017,100.00,2.7501,,2.7501,
235,18国开12,100.78,2.4700,12.01,2.4560,
236,20中电信SCP016,99.97,3.0004,14.95,2.7506,
237,20天风证券CP006,100.05,2.0992,-82.09,2.0992,
238,19农发07,100.39,2.8500,-2.1,2.8500,
239,20长庚二号ABN001优先,99.98,,,,
240,19重庆04,99.99,3.1800,,3.1800,
241,19海运集装MTN002,99.93,3.6750,-1.26,3.6750,
242,16新疆债02,100.05,2.4498,-9.03,2.4498,
243,20华夏银行CD480,97.18,2.8800,-13.0,2.8757,
244,20农业银行CD022,97.74,2.1501,-54.98,2.1857,
245,20中信银行CD221,97.16,2.8500,,2.8500,
246,16国开10,99.52,3.2800,1.0,3.2885,
247,20沪电力SCP016,100.01,2.4498,-22.77,2.4498,
248,20兴业银行CD444,99.32,1.8997,-4.99,1.8854,
249,20民生银行CD504,99.33,1.8501,-94.99,1.8501,
250,18平安银行01,100.77,2.9532,-9.36,3.0362,
251,19华夏银行永续债,101.11,4.4890,-0.1,4.4890,
252,20中国银行CD101,97.17,2.8600,-12.0,2.8600,
253,18浙商银行二级01,101.60,4.5383,1.0,4.5383,
254,20贴现国债62,99.46,2.0998,-24.0,2.1270,
255,20平安银行CD036,97.33,1.9497,-85.06,1.9117,
256,18农业银行二级01,101.35,4.2281,0.34,4.2281,
257,20国开06,99.63,2.4301,-3.98,2.4225,
258,20中信银行CD008,97.33,1.9497,-60.06,1.9424,
259,17国开01,102.27,3.0486,-3.14,3.0872,
260,20云南21,94.70,3.6199,,3.6199,
261,20国开20,100.39,3.8700,-0.06,3.8668,
262,20常德城投MTN003,100.33,4.5722,-0.12,4.5722,
263,19附息国债16,100.21,3.0800,-1.0,3.0919,
264,20农业银行CD143,97.92,2.7201,-144.72,2.7201,
265,20建设银行CD189,98.63,2.7784,-1.17,2.7784,
266,20华夏银行CD469,97.17,2.8800,-14.0,2.8800,
267,20临海农商银行CD009,99.79,2.5002,,2.5002,
268,20民生银行CD550,97.95,4.4327,161.12,4.4327,
269,18进出10,107.95,3.6171,14.71,3.6171,
270,20东航股SCP032,99.99,2.0997,-77.06,2.0997,
271,20北京银行CD177,97.09,2.9983,-0.17,2.9983,
272,20交通银行永续债,99.88,4.6141,-3.71,4.6141,
273,18潍坊滨投MTN002,101.31,6.2223,0.67,6.2223,
274,20交通银行CD132,98.74,1.7500,,1.7500,
275,20中国银行CD094,99.33,1.8501,-92.94,1.8501,
276,20招商银行CD012,97.21,1.7794,-92.09,1.7794,
277,20平安银行CD227,97.16,2.8500,-29.0,2.8500,
278,16附息国债02,100.03,1.4011,9.92,1.4243,
279,20江苏银行CD227,96.76,3.3423,33.23,3.3423,
280,20交通银行CD277,97.18,2.8800,-1.0,2.8800,
281,17滨海农商二级01,99.01,5.1806,1.82,5.1814,
282,20中飞租赁(疫情防控债)CP001,99.78,4.6037,,4.6037,
283,20平安银行CD329,97.13,2.9500,-5.0,2.8100,
284,20中原银行CD380,97.39,3.6500,,3.6500,
285,20西安银行CD099,97.17,3.9257,-0.31,3.9257,
286,20珠海九洲SCP005,100.00,3.8892,30.67,3.4032,
287,20重庆银行CD079,97.43,2.7001,,2.7001,
288,20农业银行CD142,99.34,1.8995,-90.04,1.9163,
289,20中国银行CD097,97.84,2.8733,-0.66,2.8355,
290,20光大银行CD327,97.18,2.9000,-7.98,2.8867,
291,20义乌农商行CD041,98.53,3.0165,,3.0165,
292,18兴业绿色金融02,100.74,3.0300,-1.16,3.0300,
293,20浦发银行CD030,97.26,1.9501,-79.97,2.0668,
294,20浦发银行CD529,97.11,2.9786,3.86,2.9729,
295,20民生银行CD555,97.15,2.9000,-18.0,2.9000,
296,20南京银行CD130,98.68,2.3000,-37.99,2.3099,
297,20民生银行CD239,97.80,2.7965,3.65,2.7965,
298,20浦发银行CD522,97.20,2.8700,-13.0,2.9100,
299,20交通银行CD059,98.08,2.4401,-30.98,2.4401,
300,20长春城发MTN001,100.17,6.9330,3.35,6.9330,
301,18华侨永亨,100.55,3.4090,-0.1,3.4090,
302,20兴业银行CD523,97.12,2.9300,-4.0,2.9300,
303,20胶州专项债01,100.12,4.8773,-2.26,4.8773,
304,18汇金MTN001,100.20,2.0506,-79.9,2.0472,
305,20进出08,99.90,2.4499,-12.01,2.4567,
306,20江苏银行永续债,96.68,4.6792,-21.49,4.6935,
307,19长城债01(品种一),100.31,3.3818,5.68,3.3818,
308,18人和投资债,100.00,7.4603,,7.4603,
309,14建行二级01,106.35,5.0482,-3.34,5.0473,
310,19国开09,100.54,3.3900,7.5,3.3900,
311,20宁波港SCP002,99.99,2.1993,-100.02,2.1993,
312,16天津债03,99.91,3.0981,-0.18,3.0981,
313,17铁道10,101.76,3.1340,0.4,3.1340,
314,20农发01,100.00,2.3995,0.06,2.4002,
315,19广州金控MTN001,100.00,3.9764,13.37,3.9764,
316,19洛阳城投MTN002,101.40,8.4371,,8.4371,
317,12中石油07,101.92,3.1500,-15.0,3.2047,
318,20贴现国债55,99.37,2.2502,-34.99,2.2502,
319,19工商银行二级01,100.61,4.1690,1.0,4.1690,
320,20中信银行CD284,97.88,2.7999,-9.01,2.7584,
321,20进出13,100.68,3.0665,0.82,3.0580,
322,18国开03,100.41,2.2108,-18.93,2.3325,
323,20河北债48,100.00,3.2698,,3.2809,
324,20厦门债15,96.65,3.5875,,3.5813,
325,20平安银行CD261,99.32,1.8010,-79.9,1.8208,
326,20招商银行永续债01,97.56,4.5550,-18.37,4.5695,
327,20浦发银行CD320,97.24,2.7699,-13.01,2.7819,
328,16农发18,101.78,3.2067,-7.08,3.3347,
329,20龙源电力SCP016,100.00,2.0008,-81.82,2.0008,
330,20广东债01,99.72,3.3512,-0.16,3.3401,
331,20农业银行CD082,98.62,2.5004,-17.67,2.0597,
332,16进出10,98.92,3.3900,-2.0,3.5017,
333,17附息国债13,102.64,2.7554,-0.02,2.7554,
334,20广晟MTN005,100.24,3.9887,-0.68,3.9887,
335,18韶山高新债,99.99,7.9708,,7.9708,
336,19附息国债04,100.90,2.8950,3.5,2.8990,
337,20进出15,100.61,3.2888,8.13,3.2374,
338,20兴业银行小微债05,100.11,3.4000,-3.0,3.4136,
339,20江北新区PPN001,99.12,4.2319,0.59,4.2319,
340,20南京地铁GN001,99.04,3.7013,-11.74,3.7007,
341,20农发07,99.89,3.1000,7.84,3.0783,
342,19河北租赁债01,99.44,5.9152,0.02,5.9147,
343,20浦发银行CD341,98.65,2.2499,-39.01,2.2656,
344,20建设银行CD088,98.62,2.4503,-28.45,2.3849,
345,19铁道MTN002,100.26,3.2340,0.69,3.2340,
346,20中国银行CD109,97.92,4.4322,8.71,4.4580,
347,20华侨城MTN002,98.00,5.8089,-0.26,5.8087,
348,19进出08,100.67,2.8483,-6.17,2.8499,
