,债券简称,成交净价(元),最新收益率(%),涨跌(BP),加权收益率(%),交易量(亿)
0,20国开15,100.17,3.6775,1.0,3.6765,
1,20国开12,99.91,3.3575,-0.25,3.3553,
2,20国开10,95.02,3.7200,0.5,3.7134,
3,20附息国债16,99.91,3.2800,0.5,3.2764,
4,20附息国债11,99.56,2.9100,1.44,2.8906,
5,20附息国债13,99.68,3.0900,1.5,3.0812,
6,20民生银行CD564,96.99,3.1000,,3.1066,
7,20附息国债18,100.13,2.8584,0.84,2.8606,
8,20附息国债12,99.58,3.8333,-0.17,3.8365,
9,20农业银行CD136,99.29,2.6166,-21.24,2.6995,
10,20附息国债09,98.52,2.9700,1.0,2.9542,
11,20附息国债01,99.97,2.6995,-5.04,2.7198,
12,20附息国债17,99.99,3.2812,0.73,3.2730,
13,20附息国债15,100.14,2.7249,-0.01,2.7683,
14,20附息国债05,95.48,3.1275,1.75,3.0913,
15,20贴现国债45,99.45,1.2535,-4.56,1.2786,
16,20附息国债06,95.09,3.2900,0.5,3.2757,
17,20中信银行二级,97.26,4.2193,1.36,4.2186,
18,18附息国债05,103.32,2.9200,-2.0,2.9398,
19,19国开03,100.25,3.2136,-0.64,3.2450,
20,20中信建投CP017,100.00,2.7998,,2.7998,
21,20贴现国债50,99.36,2.5504,-2.01,2.5546,
22,20国开03,99.49,3.3650,-0.5,3.3627,
23,20国开07,99.71,3.1116,-3.84,3.1422,
24,20附息国债14,99.83,2.9400,1.73,2.9278,
25,20贴现国债61,99.35,2.6399,-8.12,2.6110,
26,20浦发银行二级01,97.28,4.2173,6.81,4.2173,
27,20贴现国债47,98.73,2.5650,-7.77,2.5089,
28,20浦发银行CD478,97.84,2.9000,1.0,2.9011,
29,20附息国债04,92.05,3.8450,0.96,3.8471,
30,20附息国债10,99.67,2.7001,-1.49,2.7029,
31,20农发04,94.13,3.7145,-0.55,3.7101,
32,20贴现国债49,98.69,2.6200,-5.99,2.6473,
33,20国开02,97.26,3.1081,-1.19,3.1273,
34,19附息国债09,100.19,2.3769,0.48,2.3845,
35,20中信银行CD282,97.84,2.9000,1.0,2.9000,
36,20中国银行CD085,97.84,2.8900,-9.0,2.8900,
37,15附息国债16,102.10,3.0143,8.43,3.0143,
38,20国开01,99.98,2.5998,-10.01,2.5896,
39,18国开08,100.47,2.6701,-3.0,2.6966,
40,14附息国债12,104.15,2.7500,1.0,2.7491,
41,20国开08,98.01,3.3700,1.25,3.3594,
42,18中信银行二级01,102.01,4.6413,0.43,4.6413,
43,20农发07,99.69,3.1784,-0.74,3.1579,
44,20国开16,99.96,2.7400,-4.0,2.7521,
45,20沪电力SCP025,100.00,3.2497,,3.2497,
46,17中盈1A2,31.47,,,,
47,20进出06,99.73,2.5829,-10.71,2.6071,
48,16国开10,99.03,3.3808,0.08,3.3984,
49,19国开02,100.13,2.9029,-0.66,2.8939,
50,18农发12,100.45,2.8000,1.0,2.8233,
51,20进出15,100.56,3.3022,-8.37,3.3380,
52,19国开07,100.25,2.9900,-3.0,3.0027,
53,20电网SCP046,99.84,3.0001,0.01,2.9974,
54,20上海医药SCP004,99.94,3.0506,-4.99,3.0506,
55,19国开05,98.71,3.6675,-0.25,3.6758,
56,19国开10,99.66,3.6950,1.0,3.6916,
57,18国开10,102.83,3.6025,0.75,3.5969,
58,20附息国债08,97.63,3.2620,0.95,3.2589,
59,20交通银行CD007,97.18,2.6705,-15.96,2.6705,
