,债券简称,成交净价(元),最新收益率(%),涨跌(BP),加权收益率(%),交易量(亿)
0,20附息国债18,100.03,2.9150,,2.9639,
1,20附息国债13,99.55,3.1195,1.56,3.1122,
2,20国开15,100.01,3.6975,-1.75,3.7095,
3,20国开10,94.35,3.8070,5.7,3.7427,
4,20国开12,99.76,3.3950,-0.68,3.4084,
5,20附息国债16,99.87,3.2850,-1.0,3.2865,
6,20附息国债15,100.06,2.8200,1.0,2.8113,
7,18国开05,108.11,3.5743,6.68,3.5042,
8,20附息国债12,99.51,3.8375,1.4,3.8338,
9,20交通银行CD274,96.91,3.1900,,3.2053,
10,20贴现国债48,99.39,2.6298,-3.89,2.6184,
11,20附息国债17,99.91,3.2950,-0.5,3.2993,
12,20国开01,99.96,2.7694,-0.02,2.7691,
13,20国开16,99.86,2.8650,-0.5,2.8232,
14,20国开09,99.18,3.5300,-0.5,3.5301,
15,20中信银行CD316,98.41,3.2499,22.98,3.2228,
16,20建设银行CD173,99.29,2.8993,,2.8993,
17,20上海银行CD295,99.75,2.9501,,2.9490,
18,20国开03,99.36,3.4000,1.0,3.4177,
19,20附息国债11,99.51,2.9400,-2.5,2.9558,
20,20银河证券CP016,100.00,2.9493,,2.9517,
21,20华夏银行CD475,98.50,3.0500,,3.0474,
22,20国开07,99.56,3.1700,-3.0,3.2151,
23,20附息国债14,99.67,3.0000,0.2,2.9947,
24,20附息国债06,95.01,3.3000,-0.25,3.3007,
25,20附息国债09,98.37,3.0300,1.0,3.0239,
26,20贴现国债53,99.35,2.6303,-2.93,2.6324,
27,20中信银行CD318,96.93,3.1600,-11.97,3.2110,
28,20国开05,95.08,3.7075,2.25,3.7075,
29,19附息国债09,99.93,2.8399,-1.01,2.4068,
30,20建设银行CD171,98.52,3.0000,0.99,3.1207,
31,19国开07,100.06,3.1297,2.75,3.1170,
32,20附息国债03,98.36,3.0100,1.5,3.0167,
33,20抗疫国债04,96.13,3.3350,0.5,3.3117,
34,20进出12,99.50,3.2598,13.98,3.1724,
35,20浦发银行永续债,99.48,4.8700,12.11,4.8285,
36,18农业银行二级01,101.13,4.2639,5.71,4.2639,
37,16农发05,99.63,3.4099,-4.01,3.3430,
38,20国开11,99.35,2.8300,-1.47,2.8313,
39,15国开10,103.15,3.4100,1.0,3.4179,
40,20中信银行CD319,98.51,3.0300,,3.0393,
41,19国开03,100.02,3.2900,1.0,3.3188,
42,20江苏银行CD228,96.81,3.2971,,3.2971,
43,20附息国债08,97.52,3.2800,0.75,3.2860,
44,20国开08,97.81,3.4190,2.9,3.4087,
45,20农业银行CD013,98.30,1.6954,-5.48,1.6999,
46,20陕延油MTN006,100.00,6.9314,,6.9314,
47,20附息国债05,95.36,3.1550,-1.0,3.1561,
48,20农业银行CD019,98.33,1.7987,19.87,1.7883,
49,20江苏银行CD226,96.87,3.2300,-2.0,3.3854,
50,20平安银行CD061,97.29,2.9499,1.0,2.9439,
51,20中国银行CD109,98.45,3.1489,-0.08,3.1993,
52,18附息国债21,100.29,2.7950,-0.5,2.7512,
53,19吉林18,99.83,3.2572,,3.2572,
54,20农业银行CD136,99.26,2.8902,-2.95,2.8698,
55,20招商银行CD070,98.04,3.1499,1.0,3.1499,
56,16国开06,100.02,2.7808,3.07,2.7473,
57,18农发12,100.40,2.8500,-2.0,2.8518,
58,20民生银行CD561,96.94,3.1501,-12.96,3.2760,
59,20国开02,97.05,3.1981,-0.19,3.2027,
60,20民生银行CD443,98.56,2.9499,1.0,2.9499,
61,19农发06,100.16,3.7150,1.0,3.7114,
62,19国开05,98.55,3.6901,1.26,3.6900,
63,20进出14,99.86,2.8810,0.11,2.9532,
64,20浦发银行CD375,98.28,4.0646,-48.04,3.7368,
65,18国开12,100.57,2.8600,17.09,2.8598,
66,18进出13,100.57,2.9623,-0.77,2.9623,
67,20招商银行CD204,96.86,3.2368,,3.2368,
68,20浦发银行CD517,96.86,3.2368,,3.2368,
69,20农业银行CD109,99.35,1.7570,16.04,1.7312,
70,19国开14,99.69,3.1400,2.72,3.1471,
71,19进出05,99.89,3.3150,-0.67,3.3099,
