,债券简称,成交净价(元),最新收益率(%),涨跌(BP),加权收益率(%),交易量(亿)
0,20国开15,101.32,3.5365,-2.25,3.5477,
1,20附息国债14,100.18,2.8100,-1.0,2.8057,
2,20附息国债13,100.21,2.9700,0.2,2.9651,
3,20国开12,100.28,3.2675,-2.2,3.2774,
4,20附息国债16,100.95,3.1560,-1.65,3.1617,
5,20附息国债11,99.89,2.7100,-0.5,2.7079,
6,21交通银行CD001,97.21,2.8700,,2.7827,
7,20国开10,95.69,3.6375,-1.0,3.6462,
8,20附息国债18,100.41,2.7000,0.75,2.6807,
9,20农发10,101.37,3.6198,-3.07,3.6249,
10,20附息国债17,100.75,3.1560,-0.9,3.1652,
11,19国开02,100.48,2.5400,-1.0,2.5372,
12,20附息国债12,101.23,3.7410,-0.75,3.7448,
13,20国开03,99.85,3.2700,2.35,3.2725,
14,20附息国债05,96.09,2.9900,-4.0,3.0064,
15,16国开06,100.06,2.1504,17.64,2.1290,
16,20国开07,99.89,3.0400,1.0,3.0388,
17,19附息国债03,100.16,2.5450,8.51,2.5251,
18,20农发清发03,100.40,2.9900,9.0,2.9579,
19,21兴业银行CD028,97.30,2.7798,,2.8053,
20,20附息国债09,98.90,2.8300,-2.0,2.8334,
21,20进出13,100.61,3.0900,1.96,2.9805,
22,20国开02,97.55,3.0200,1.5,3.0204,
23,18附息国债21,100.56,2.3600,4.0,2.3181,
24,21进出661,99.59,1.6715,,1.7620,
25,18国开04,103.37,3.0569,-0.5,3.0370,
26,19国开05,99.18,3.6000,-1.0,3.6084,
27,20国开16,100.10,2.5201,20.27,2.4644,
28,19国开03,100.45,3.1400,1.0,3.1309,
29,21兴业证券CP001,100.00,2.3998,,2.3998,
30,20农发清发01,99.41,2.7800,12.0,2.7152,
31,21浦发银行CD003,97.27,2.8000,-2.0,2.8000,
32,20进出15,101.09,3.1766,-12.93,3.2234,
33,20农发09,100.30,2.2655,-13.45,2.2496,
34,16农发05,100.42,3.2371,-1.25,3.2470,
35,20农发02,98.15,3.0825,0.06,3.0722,
36,21兴业银行CD009,97.20,2.8800,48.0,2.7611,
37,19国开14,100.06,2.9300,13.24,2.9586,
38,20附息国债06,95.71,3.2156,1.06,3.2070,
39,20国开08,98.35,3.2950,-0.5,3.2935,
40,20国电CP002,99.60,2.7800,21.0,2.7736,
41,21北京银行CD006,97.23,2.8498,,2.8497,
42,20贴现国债62,99.45,2.0298,17.95,1.8586,
43,20农发07,99.87,3.1100,2.0,3.1117,
44,16进出03,100.09,3.3100,3.5,3.2921,
45,19国开08,100.63,3.2200,1.0,3.2169,
46,20进出05,98.65,3.2850,3.48,3.2902,
47,20附息国债15,100.40,2.3901,4.0,2.3610,
48,19附息国债04,101.02,2.8500,1.0,2.8580,
49,19附息国债09,100.24,2.1873,6.08,2.2086,
50,20附息国债02,99.61,2.5700,1.81,2.5557,
51,19附息国债13,100.20,2.8800,1.0,2.8996,
52,20中国银行CD019,98.00,2.5700,6.99,2.5502,
53,16农发18,101.08,3.3500,0.08,3.3499,
54,21建设银行CD008,97.32,2.7500,,2.7498,
55,18附息国债16,101.38,2.7100,2.15,2.7437,
56,19附息国债16,100.58,3.0100,-1.0,3.0156,
57,18国开03,100.34,1.9855,-1.43,2.1285,
58,16进出02,100.08,2.1499,23.73,2.1339,
59,20兴业银行CD345,97.22,2.7899,,2.7900,
60,18附息国债23,101.43,2.7400,2.13,2.7451,
61,19附息国债07,101.22,2.9986,4.19,2.9982,
62,20贴现国债43,98.78,2.0800,18.0,2.0709,
63,19附息国债14,100.29,2.3200,11.24,2.2833,
64,17附息国债14,101.40,2.4853,5.96,2.4864,
65,18附息国债28,101.17,2.9588,4.02,2.9592,
66,20中国银行CD094,99.26,2.4006,55.05,2.3601,
67,20贴现国债56,99.35,2.0802,12.97,2.0412,
