,债券简称,成交净价(元),最新收益率(%),涨跌(BP),加权收益率(%),交易量(亿)
0,20国开15,101.46,3.5199,-0.13,3.5357,
1,20附息国债16,101.26,3.1200,-2.1,3.1398,
2,20附息国债13,100.22,2.9686,3.46,2.9370,
3,20国开10,95.79,3.6225,0.4,3.6354,
4,20国开12,100.48,3.2200,-3.0,3.2418,
5,20附息国债11,99.90,2.6975,-1.31,2.7117,
6,20附息国债15,100.45,2.3500,-12.51,2.4346,
7,20附息国债06,96.03,3.1725,1.0,3.1940,
8,20附息国债17,100.73,3.1600,-0.5,3.1684,
9,20附息国债14,100.29,2.7700,-5.0,2.8094,
10,20附息国债09,98.86,2.8400,-1.5,2.8518,
11,20附息国债12,101.65,3.7175,-2.75,3.7406,
12,20附息国债10,99.92,2.2905,-7.56,2.3337,
13,20国开03,100.11,3.2000,-5.5,3.2114,
14,20国开07,99.96,3.0134,1.34,3.0166,
15,20国开16,100.20,2.4000,-4.93,2.4337,
16,16附息国债07,100.08,2.2200,2.0,2.2200,
17,19国开10,100.13,3.6300,-2.06,3.6300,
18,20附息国债08,98.28,3.1500,-1.0,3.1609,
19,20国开08,98.60,3.2300,-3.0,3.2460,
20,19河北债13,102.33,3.4066,,3.3931,
21,20国开02,97.65,2.9500,-0.5,2.9607,
22,19国开05,99.04,3.6200,-0.94,3.6128,
23,20农发10,101.21,3.6400,-1.48,3.6562,
24,20附息国债18,100.46,2.6800,-6.5,2.7045,
25,19国开08,100.88,3.1450,-3.38,3.1664,
26,20国开06,99.67,2.3024,-9.76,2.3713,
27,19附息国债03,100.17,2.5400,-8.0,2.5908,
28,21国新控股SCP001,100.00,2.4998,,2.4998,
29,20交通银行CD065,98.02,2.5399,-26.01,2.5328,
30,20民生银行CD504,99.32,1.9006,1.0,1.9022,
31,20国开11,99.66,2.2201,-13.99,2.3117,
32,19国开03,100.68,3.0650,-4.63,3.0898,
33,20附息国债03,98.88,2.7800,-7.0,2.7860,
34,20附息国债02,99.55,2.6200,-2.0,2.6321,
35,20农发04,94.76,3.6350,-3.5,3.6485,
36,18附息国债14,100.51,2.1501,-16.99,2.1767,
37,20兴业银行CD448,99.33,1.6494,1.0,1.6274,
38,20平安银行CD284,99.32,1.8598,-5.98,1.8329,
39,20国开01,100.01,1.5994,-10.1,1.6884,
40,20浦发银行CD528,97.27,2.8000,-9.0,2.8792,
41,20附息国债05,96.19,2.9550,-3.0,2.9765,
42,20平安银行小微债01,97.66,3.3322,-3.28,3.3435,
43,19附息国债04,101.09,2.8325,-6.75,2.8522,
44,19农发09,100.24,3.1650,-2.75,3.1760,
45,18国开05,108.98,3.4300,-1.0,3.4317,
46,19进出05,100.48,3.1150,-0.5,3.1181,
47,20农发01,100.00,2.0027,-29.51,2.0898,
48,20附息国债04,93.19,3.7766,-1.34,3.7787,
49,20农发05,96.07,3.2450,-2.45,3.2468,
50,18国开10,103.34,3.5231,-1.75,3.5237,
51,19民生银行永续债,101.31,4.4209,-5.91,4.4185,
52,19国开02,100.48,2.5530,-2.71,2.5885,
53,16农发18,101.33,3.2999,-1.01,3.2999,
54,20贴现国债62,99.47,2.0302,-6.0,2.0595,
55,20建设银行CD088,98.66,2.0999,-35.04,2.1285,
56,20平安银行CD072,97.69,2.1999,,2.1999,
57,20华夏银行CD329,98.68,2.2002,-45.0,2.2002,
