,债券简称,成交净价(元),最新收益率(%),涨跌(BP),加权收益率(%),交易量(亿)
0,20国开15,101.70,3.4900,-2.35,3.5201,
1,20附息国债13,100.64,2.8725,-6.7,2.9053,
2,20附息国债11,100.15,2.5350,-5.0,2.5554,
3,20国开12,100.56,3.2000,-3.5,3.2331,
4,21贴现国债01,98.94,2.1406,,2.1303,
5,20附息国债16,101.22,3.1250,-1.5,3.1477,
6,20国开10,95.84,3.6175,-0.5,3.6314,
7,20附息国债15,100.61,2.1500,-2.51,2.1609,
8,20附息国债17,100.87,3.1375,-1.0,3.1429,
9,20附息国债18,100.74,2.5275,-6.25,2.5480,
10,20附息国债05,96.23,2.9500,-2.0,2.9461,
11,20附息国债14,100.55,2.6725,-7.75,2.7090,
12,21进出07,99.86,3.4231,,3.4162,
13,21贴现国债02,99.53,1.8999,,1.9013,
14,20平安银行CD208,97.29,2.6800,3.01,2.6800,
15,20附息国债06,96.22,3.1500,-5.0,3.1858,
16,20附息国债12,101.60,3.7200,-2.0,3.7385,
17,20附息国债09,99.19,2.7000,-4.75,2.7212,
18,20附息国债10,100.06,2.0000,-4.01,2.0182,
19,20农发清发01,99.56,2.6382,-2.18,2.6563,
20,18进出10,109.11,3.4375,-0.25,3.4393,
21,20农发清发03,100.68,2.8200,1.0,2.8105,
22,20国开03,100.02,3.2239,-0.36,3.2067,
23,20国开07,100.18,2.9225,-2.5,2.9390,
24,18附息国债21,100.75,2.1200,-5.01,2.1812,
25,18附息国债02,100.07,1.4002,-9.95,1.4633,
26,20附息国债04,93.31,3.7700,-1.5,3.7880,
27,21招商银行CD005,97.28,2.7997,,2.7997,
28,20浦发银行永续债,100.91,4.5341,0.41,4.5349,
29,20兴业银行CD348,97.29,2.6800,4.01,2.6800,
30,20国开16,100.28,2.2700,-6.0,2.3224,
31,20农发06,99.95,2.2001,-7.99,2.2026,
32,19国开05,99.25,3.5900,-2.75,3.6119,
33,19进出09,100.51,2.3400,-4.0,2.3662,
34,16国开06,100.11,1.8404,-1.96,1.8322,
35,20华夏银行,100.54,3.3418,-0.82,3.3679,
36,20国开02,97.82,2.8800,-5.0,2.9112,
37,21邮政SCP001,100.00,2.5398,,2.5378,
38,21国开02,100.08,2.9500,-4.0,2.9777,
39,20农发07,100.16,2.9900,-1.0,2.9905,
40,20农发02,98.43,2.9400,-4.0,2.9764,
41,19国开03,100.77,3.0314,-1.86,3.0528,
42,19附息国债14,100.39,2.2000,-3.0,2.2016,
43,21上海银行CD005,98.70,2.6501,,2.6499,
44,20农发10,101.34,3.6230,-1.7,3.6191,
45,20浦发银行CD388,97.98,2.5001,-4.98,2.5433,
46,21平安银行CD009,97.28,2.7997,,2.7998,
47,21银河证券CP001,100.00,2.4498,,2.4499,
48,20贴现国债64,98.99,2.0000,-8.01,2.0155,
49,18国开11,101.96,2.9550,-3.5,2.9921,
50,19农发09,100.36,3.1300,-3.0,3.1398,
51,18国开12,100.82,2.3600,0.31,2.3498,
52,20平安银行CD231,97.28,2.6799,-2.01,2.6963,
53,16农发18,101.18,3.3294,6.43,3.3299,
54,20国开08,98.52,3.2500,-0.5,3.2561,
55,20附息国债02,99.87,2.3200,-3.0,2.3169,
56,18国开08,100.53,2.1432,1.0,2.1489,
57,21进出02,100.00,2.7515,,2.7747,
58,19国开10,100.20,3.6200,-0.25,3.6226,
59,20附息国债03,99.16,2.6500,-7.5,2.6588,
60,20农发04,94.86,3.6225,-2.75,3.6171,
61,20进出03,98.42,2.9100,-5.0,2.9464,
62,20贴现国债38,98.86,1.9795,-5.04,1.9922,
63,19附息国债15,99.46,3.2000,-0.5,3.2351,
64,19附息国债03,100.39,2.3400,-4.0,2.3628,
65,20邮政SCP005,99.86,2.5499,,2.5840,
66,19建元10A3_bc,80.70,,,,
67,19附息国债04,101.37,2.7400,-3.5,2.7495,
68,20进出09,100.14,2.2400,-9.01,2.3021,
69,20农发05,96.12,3.2350,-1.5,3.2486,
70,19进出05,100.62,3.0650,-3.0,3.0931,
71,20国开04,100.29,3.3750,-1.5,3.3928,
72,20兴业银行CD424,99.30,1.6021,15.06,1.6021,
73,20华夏银行CD245,97.30,2.6601,1.01,2.6601,
74,21浦发银行CD003,96.81,3.3000,47.0,3.3000,
75,20进出05,98.78,3.2503,-0.97,3.2498,
76,17国开15,104.52,3.4600,-0.75,3.4582,
77,19农业银行永续债01,100.77,4.1500,1.0,4.1511,
78,20国开11,99.73,2.0801,-6.24,2.2304,
79,20抗疫国债01,97.78,2.9500,-5.0,2.9871,
80,19农发06,100.78,3.6300,-1.0,3.6305,
81,21兴业银行CD014,97.24,2.8350,0.5,2.8210,
82,16农发11,100.18,1.8698,1.98,1.8653,
83,20农业银行CD178,98.75,2.5001,-0.99,2.5456,
84,20进出13,100.89,2.9800,-3.0,3.0032,
85,14国开14,100.97,2.2838,-0.49,2.2838,
86,20交通银行02,100.41,3.3419,0.19,3.3520,
87,18国开04,103.75,2.8900,-5.0,2.9320,
