,债券简称,成交净价(元),最新收益率(%),涨跌(BP),加权收益率(%),交易量(亿)
0,20国开15,101.37,3.5300,-0.65,3.5322,
1,20附息国债16,100.96,3.1550,-0.1,3.1599,
2,21江苏债01,100.12,3.3600,,3.3786,
3,20附息国债12,101.55,3.7228,-1.82,3.7282,
4,20附息国债13,100.36,2.9350,-3.48,2.9471,
5,20国开12,100.38,3.2450,-2.25,3.2668,
6,21江苏债02,99.94,3.3900,,3.3869,
7,16国开06,100.06,2.1000,-5.04,2.1238,
8,20附息国债11,99.98,2.6500,-6.0,2.6923,
9,20附息国债14,100.28,2.7715,-3.52,2.7955,
10,20附息国债06,95.75,3.2100,-0.56,3.2022,
11,20附息国债17,100.80,3.1475,-0.85,3.1624,
12,21贴现国债03,99.55,1.7954,,1.8183,
13,20国开16,100.14,2.4700,-5.01,2.3714,
14,20国开03,99.97,3.2375,-3.25,3.2587,
15,20附息国债18,100.43,2.6900,-1.0,2.6891,
16,20国开10,95.75,3.6300,-0.75,3.6309,
17,20国开07,99.95,3.0150,-2.5,3.0344,
18,19国开02,100.43,2.5800,3.9,2.5689,
19,20农发清发03,100.38,3.0000,1.0,3.0078,
20,19附息国债02,100.03,2.0200,-7.99,2.0820,
21,16进出03,100.11,3.3050,-0.5,3.3256,
22,20附息国债15,100.39,2.4000,0.99,2.3901,
23,20附息国债05,96.13,2.9800,-1.0,2.9879,
24,21渤海银行二级,100.00,4.4000,,4.4000,
25,19国开14,100.08,2.9200,-1.0,2.9268,
26,20中国银行CD088,99.25,2.5010,19.92,2.4816,
27,20农发清发01,99.41,2.7800,1.0,2.8176,
28,15国开18,101.79,3.3150,-0.5,3.3315,
29,20农发10,101.24,3.6350,1.52,3.6692,
30,20附息国债02,99.62,2.5600,-1.0,2.5438,
31,20附息国债03,98.92,2.7700,-1.75,2.7622,
32,18国开04,103.42,3.0300,-2.69,3.0405,
33,20农发05,96.05,3.2625,-2.75,3.2944,
34,19国开03,100.51,3.1200,-2.0,3.1320,
35,18国开11,101.67,3.0650,-4.0,3.0948,
36,20国开02,97.61,2.9900,-3.0,3.0163,
37,20附息国债09,98.87,2.8400,1.0,2.8235,
38,19附息国债03,100.17,2.5350,-1.0,2.5341,
39,21进出02,99.81,2.8475,-4.32,2.8679,
40,20进出14,100.17,2.5000,12.39,2.4223,
41,18附息国债21,100.57,2.3499,-1.01,2.3480,
42,19附息国债04,101.10,2.8250,-2.5,2.8490,
43,20贴现国债56,99.35,2.0705,-0.97,2.0735,
44,19附息国债13,100.13,2.9000,2.0,2.8988,
45,19国开08,100.69,3.2000,-2.0,3.2122,
46,20平安银行CD185,97.29,2.6800,-6.01,2.6800,
47,18附息国债28,101.29,2.9300,-2.88,2.9624,
48,16进出02,100.08,2.0802,-6.97,2.1075,
49,19附息国债14,100.26,2.3500,3.0,2.3320,
50,18附息国债16,101.38,2.7092,-0.08,2.7094,
51,18附息国债23,101.69,2.6400,-10.0,2.7397,
52,19附息国债09,100.22,2.2393,5.41,2.2361,
53,19附息国债16,100.53,3.0200,1.0,3.0130,
54,19附息国债07,101.30,2.9817,-1.67,2.9820,
