,债券简称,成交净价(元),最新收益率(%),涨跌(BP),加权收益率(%),交易量(亿)
0,20国开15,100.13,3.6825,-1.5,3.6834,
1,20附息国债13,99.69,3.0875,-3.2,3.0941,
2,20建设银行CD178,99.79,2.5001,,2.5001,
3,20国开10,95.02,3.7200,-8.7,3.7270,
4,20附息国债11,99.56,2.9100,-3.75,2.9290,
5,20国开12,99.85,3.3725,-2.25,3.3896,
6,20附息国债16,99.96,3.2750,-0.91,3.2757,
7,20附息国债06,95.09,3.2902,-0.98,3.2869,
8,20中国银行永续债03,100.00,4.6999,,4.6999,
9,20附息国债15,100.09,2.7800,-4.0,2.8004,
10,20附息国债12,99.55,3.8350,-0.25,3.8290,
11,20附息国债14,99.82,2.9449,-5.51,2.9628,
12,20附息国债03,98.46,2.9675,-4.92,2.9824,
13,20民生银行CD504,99.26,2.8503,-14.98,2.8633,
14,20平安银行CD322,96.95,3.1497,,3.1396,
15,20附息国债05,95.48,3.1250,-3.0,3.1478,
16,20国开03,99.46,3.3725,-2.75,3.4210,
17,20国开02,97.13,3.1619,-3.72,3.1795,
18,20附息国债17,99.92,3.2925,-0.25,3.2869,
19,20交通银行CD277,96.96,3.1397,,3.1400,
20,20宁波银行CD234,99.76,2.8904,,2.8904,
21,20华夏银行CD480,96.95,3.1497,,3.1439,
22,20中国银行二级01,99.22,4.2969,0.81,4.2969,
23,20工商银行二级01,98.58,4.3800,7.7,4.2972,
24,20附息国债08,97.58,3.2702,-0.98,3.2726,
25,19进出05,99.99,3.2800,-3.5,3.3191,
26,19国开07,100.11,3.0900,-3.97,3.0906,
27,20国开01,99.97,2.6999,-6.95,2.7490,
28,19国开03,100.11,3.2600,-3.0,3.2836,
29,19国开02,100.11,2.9200,-5.0,2.9524,
30,20国开08,98.01,3.3700,-4.9,3.3779,
31,20附息国债10,99.65,2.7450,-5.5,2.7589,
32,20中信银行CD324,96.95,3.1497,,3.1471,
33,20国开07,99.61,3.1500,-2.0,3.1894,
34,20贴现国债51,99.36,2.6002,-1.26,2.6002,
35,20大唐集MTN005B,100.00,6.5761,,6.5761,
36,20国信证券CP015,100.00,2.9398,,2.9398,
37,20建设银行二级,99.23,4.2967,0.81,4.2967,
38,20贴现国债48,99.39,2.6003,-2.95,2.6003,
39,20附息国债02,99.22,2.8900,-6.37,2.9038,
40,20附息国债09,98.47,2.9907,-3.81,3.0067,
41,20进出03,97.80,3.1700,-4.81,3.2724,
42,20进出05,98.23,3.3850,-2.5,3.4215,
43,20中国银行CD088,99.27,2.7396,-11.01,2.8318,
44,20浦发银行CD464,99.26,2.8498,-5.02,2.8499,
